model,threshold,average_precision,roc_auc,recall,precision,f1,false_positive_rate,alert_rate,alerts,false_alerts_per_10000,true_positives,false_positives,false_negatives,true_negatives
"Before: capped AE, all 29 inputs",2.5721561908721924,0.20364237995176837,0.9594010388847345,0.21621621621621623,0.2962962962962963,0.25,0.0006705251270468661,0.0009516089239770204,54,6.696507242801255,16,38,58,56634
Improved: label-informed AE,4.922752380371094,0.6339287720951841,0.9239829097166055,0.7162162162162162,0.6235294117647059,0.6666666666666666,0.000564652738565782,0.0014979029358897543,85,5.639163993937899,53,32,21,56640
"Tuned Isolation Forest, label-informed inputs",0.7381025423356288,0.5962939826365339,0.9705317083034474,0.5405405405405406,0.5405405405405406,0.5405405405405406,0.0005999435347261434,0.0013040566735981391,74,5.991611743559018,40,34,34,56638
